start: 2020-02-18 19:13:17,Voltage, Current
2020-02-18 19:13:17-2.50 mA,1.22020-02-18 19:13:175 mV,0.00 mW
2020-02-18 19:13:18-2.50 mA,2.50 mV,0.00 mW
2020-02-18 19:13:19-3.75 mA,2.50 m2020-02-18 19:13:19V,0.00 mW
2020-02-18 19:13:20-2.50 mA,0.00 mV,0.00 mW
2020-02-18 19:13:21-1.25 mA,0.00 mV,2020-02-18 19:13:210.00 mW
2020-02-18 19:13:22-3.75 mA,0.00 mV,0.00 mW
2020-02-18 19:13:23-1.25 mA,0.00 mV,0.02020-02-18 19:13:230 mW
2020-02-18 19:13:24-2.50 mA,0.00 mV,0.00 mW
2020-02-18 19:13:25-1.25 mA,0.00 2020-02-18 19:13:25mV,0.00 mW
2020-02-18 19:13:26-2.50 mA,1.25 mV,0.00 mW
2020-02-18 19:13:27-2.50 mA,0.00 mV,2020-02-18 19:13:270.00 mW
2020-02-18 19:13:28-3.75 mA,0.00 mV,0.00 mW
2020-02-18 19:13:29-2.50 mA,0.00 mV,02020-02-18 19:13:29.00 mW
2020-02-18 19:13:30-1.25 mA,1.25 mV,0.00 mW
2020-02-18 19:13:31-2.50 mA,1.25 mV,0.002020-02-18 19:13:31 mW
2020-02-18 19:13:32-3.75 mA,0.00 mV,0.00 mW
2020-02-18 19:13:33-2.50 mA,2.50 mV,0.00 mW2020-02-18 19:13:33
2020-02-18 19:13:34-2.50 mA,1.25 mV,0.00 mW
2020-02-18 19:13:35-2.50 mA,1.25 mV,0.00 mW
2020-02-18 19:13:36-2.50 mA,0.00 mV,0.00 mW
2020-02-18 19:13:37-2.50 mA,0.00 mV,0.00 mW
2020-02-18 19:13:38-2.50 mA,1.25 mV,0.00 mW
2020-02-18 19:13:39-2.50 mA,0.00 mV,0.00 mW
2020-02-18 19:13:40-1.25 mA,0.00 mV,0.00 mW
2020-02-18 19:13:41-3.75 mA,0.00 mV,0.00 mW
2020-02-18 19:13:42-2.50 mA,0.00 mV,0.00 mW
2020-02-18 19:13:43-2.50 mA,1.25 mV,0.00 mW
2020-02-18 19:13:44-2.50 mA,0.00 mV,0.00 mW
2020-02-18 19:13:45-3.75 mA,0.00 mV,0.00 mW
2020-02-18 19:13:46-2.50 mA,1.25 mV,0.00 mW
2020-02-18 19:13:47-2.50 mA,1.25 mV,0.00 mW
2020-02-18 19:13:48-2.50 mA,0.00 mV,0.00 mW
2020-02-18 19:13:49-3.75 mA,0.00 mV,0.00 mW
2020-02-18 19:13:50-3.75 mA,1.25 mV,0.00 mW
2020-02-18 19:13:51-2.50 mA,0.00 mV,0.00 mW
2020-02-18 19:13:52-2.50 mA,0.00 mV,0.00 mW
2020-02-18 19:13:53-2.50 mA,1.25 mV,0.00 mW
2020-02-18 19:13:54-3.75 mA,1.25 mV,0.00 mW
2020-02-18 19:13:55-2.50 mA,1.25 mV,0.00 mW
2020-02-18 19:13:56-2.50 mA,1.25 mV,0.00 mW
2020-02-18 19:13:57-5.00 mA,1.25